part_number,description,upc
1002-662RC,"COUP 6""CL X 6""PL XL",018578046023
1002-66A,"COUPLING 6"" CLAY- 6"" CI/PL 316",018578040205
1002-66EB,"COUPLING 6""CLAY-6""CI/PL EB",018578007246
1002-66EBRC,"COUPLING 6""CLAY-6""CI/PL EBRC",018578026155
1002-66HT,"COUPLING 6"" CLAY- 6"" CI/PL HT",018578026162
1002-66HTRC,COUPLING 6X6 CLAY-CI/PL HTRC,018578047242
1002-66MIB,"COUPLING 6"" CLAY- 6"" CI/PL MIB",#N/A
1002-66RC,"COUPLING 6"" CLAY- 6"" CI/PL RC",018578017047
1002-66RC-WB,"COUPLING 6"" CLAY- 6"" CI/PL RC",#N/A
1002-66RC-WF,"COUPLING 6"" CLAY- 6"" CI/PL RC",#N/A
1002-66SDRRC,"COUPLING 6""CLAY-6""CI/PL SDR",018578014596
1002-66SRA,"COUPLING 6""CLAY-6""CI/PL SR 316",018578026186
1002-66WC,"COUPLING 6""WC CLAY-6""CI/PL",018578011779
1002-66WCRC,COUPLING 6X6 WC CLAY-CI/PL RC,018578011205
1002-66WCSDRRC,"COUPLING 6""WC CLAY-6""PL RC SDR",018578014435
1002-68,"COUPLING 6""CLAY-8""CI/PL",018578003224
1002-68EB,"COUPLING 6""CLAY-8""CI/PL EB",018578007604
1002-68EBRC,"COUPLING 6""CLAY-8""CI/PL RC ECC",018578047037
1002-68RC,"COUPLING 6""CLAY-8""CI/PL RC",018578013698
1002-8-10,"COUPLING 8X""CLAY-10""CI/PL",018578014534
1002-8-10EB,"COUPLING 8""CLAY-10""CI/PL EB",018578018389
1002-8-10EBRC,"COUP 8""CLAY-10""CI/PL ECC RC",#N/A
1002-8-10RC,"Coupling 8""Clay-10""CI/PL RC",018578018020
1002-8-12,"COUPLING 8""CLAY-12""CI/PL",018578007703
1002-8-12EB,"COUPLING 8""CLAY-12""CI/PL EB",018578012462
1002-8-12EBRC,"COUPLING 8""CLAY-12""CI/PL EBRC",#N/A
1002-8-12RC,"COUPLING 8""CLAY-12""CI/PL RC",018578049093
1002-8-15,"COUPLING 8""CLAY-15""CI/PL",018578026223
1002-8-15RC,"COUPLING 8""CLAY-15""CI/PL RC",#N/A
1002-83,"COUPLING 8"" CLAY- 3"" CI/PL",018578026247
